Time,Flow,Turbidity
2025-11-02 00:00:26.932,1.77146,0.00108
2025-11-02 00:01:26.980,0.01203,0.21668
2025-11-02 00:02:27.032,0.01206,0.1944
2025-11-02 00:03:27.071,0.01224,0.00282
2025-11-02 00:04:27.126,0.75876,0.01027
2025-11-02 00:05:27.150,0.01239,0.18485
2025-11-02 00:06:27.208,0.01211,0.09552
2025-11-02 00:07:27.224,0.51453,0.00112
2025-11-02 00:08:27.278,0.01238,0.12298
2025-11-02 00:09:27.290,0.62456,0.17516
2025-11-02 00:10:27.347,0.01208,0.08208
2025-11-02 00:11:27.360,1.46974,0.00103
2025-11-02 00:12:27.418,0.01212,0.17858
2025-11-02 00:13:27.430,0.56141,0.1489
2025-11-02 00:14:27.480,0.01217,0.00182
2025-11-02 00:15:27.490,0.01239,0.06429
2025-11-02 00:16:27.546,0.55169,0.15282
2025-11-02 00:17:27.563,0.01215,0.08602
2025-11-02 00:18:27.600,1.10446,0.00098
2025-11-02 00:19:27.643,0.01212,0.14702
2025-11-02 00:20:27.699,0.01205,0.14906
2025-11-02 00:21:27.730,0.66405,0.00086
2025-11-02 00:22:27.786,0.01233,0.16007
2025-11-02 00:23:27.810,0.01225,0.17617
2025-11-02 00:24:27.866,0.01207,0.22955
2025-11-02 00:25:27.876,0.01213,0.09814
2025-11-02 00:26:27.926,0.54291,0.26603
2025-11-02 00:27:27.945,0.01202,0.38229
2025-11-02 00:28:27.987,1.68693,0.00106
2025-11-02 00:29:28.010,0.01189,3.398
2025-11-02 00:30:28.066,0.73252,3.05578
2025-11-02 00:31:28.076,0.01203,13.73049
2025-11-02 00:32:28.149,0.01206,3.68178
2025-11-02 00:33:28.163,0.59427,1.95393
2025-11-02 00:34:28.213,0.01186,13.99073
2025-11-02 00:35:28.230,0.73494,15.76621
2025-11-02 00:36:28.286,0.01201,15.61085
2025-11-02 00:37:28.296,0.01207,18.11458
2025-11-02 00:38:28.346,0.66137,15.66829
2025-11-02 00:39:28.360,0.01219,15.32355
2025-11-02 00:40:28.416,0.66767,16.38986
2025-11-02 00:41:28.430,0.01219,14.24793
2025-11-02 00:42:28.515,0.01203,17.07097
2025-11-02 00:43:28.533,0.64147,15.19673
2025-11-02 00:44:28.599,0.01237,14.99669
2025-11-02 00:45:28.610,0.01238,17.43963
2025-11-02 00:46:28.686,0.01183,16.15245
2025-11-02 00:47:28.696,0.01209,14.57908
2025-11-02 00:48:28.817,0.01217,
2025-11-02 00:49:28.827,0.01183,11.73563
2025-11-02 00:50:28.876,0.69865,6.1159
2025-11-02 00:51:28.930,0.01192,0.93533
2025-11-02 00:52:28.954,0.87876,0.00312
2025-11-02 00:53:28.990,0.01221,0.24446
2025-11-02 00:54:29.047,0.01183,0.55404
2025-11-02 00:55:29.073,0.86905,0.31753
2025-11-02 00:56:29.126,0.01221,0.27208
2025-11-02 00:57:29.141,0.01228,0.49795
2025-11-02 00:58:29.215,0.01207,0.33058
2025-11-02 00:59:29.225,0.01245,0.1057
2025-11-02 01:00:29.268,0.61875,0.45143
2025-11-02 01:01:29.320,0.01187,0.31116
2025-11-02 01:02:29.342,0.81571,0.55238
2025-11-02 01:03:29.382,0.01226,0.28328
2025-11-02 01:04:29.448,0.01222,1.03239
2025-11-02 01:05:29.483,1.79172,
2025-11-02 01:06:29.585,0.01209,13.55608
2025-11-02 01:07:29.595,0.01236,6.54964
2025-11-02 01:08:29.639,0.01209,0.11579
2025-11-02 01:09:29.700,0.01226,0.36186
2025-11-02 01:10:29.713,0.54132,0.63507
2025-11-02 01:11:29.760,0.01197,0.51697
2025-11-02 01:12:29.816,1.70551,0.00075
2025-11-02 01:13:29.855,0.01232,0.44848
2025-11-02 01:14:29.924,0.01204,0.39878
2025-11-02 01:15:29.944,0.01213,0.01185
2025-11-02 01:16:30.005,0.01177,0.39574
2025-11-02 01:17:30.017,0.86561,0.01386
2025-11-02 01:18:30.065,0.01232,0.19647
2025-11-02 01:19:30.120,0.01209,0.3373
2025-11-02 01:20:30.132,0.01205,0.00266
2025-11-02 01:21:30.189,0.01195,0.2907
2025-11-02 01:22:30.232,1.78839,0.00131
2025-11-02 01:23:30.280,0.01196,0.17281
2025-11-02 01:24:30.336,0.88732,0.35987
2025-11-02 01:25:30.370,0.01184,0.62379
2025-11-02 01:26:30.427,0.01217,0.57067
2025-11-02 01:27:30.442,0.78989,12.00514
2025-11-02 01:28:30.496,0.0122,15.26159
2025-11-02 01:29:30.512,0.01205,16.90312
2025-11-02 01:30:30.562,0.01211,15.27628
2025-11-02 01:31:30.580,0.01223,16.96402
2025-11-02 01:32:30.630,0.68204,15.36144
2025-11-02 01:33:30.640,0.0121,15.34203
2025-11-02 01:34:30.708,0.01252,16.44941
2025-11-02 01:35:30.718,0.01213,14.35018
2025-11-02 01:36:30.767,0.01215,17.10973
2025-11-02 01:37:30.780,0.01198,14.5896
2025-11-02 01:38:30.836,0.01193,15.39517
2025-11-02 01:39:30.850,0.66822,16.71072
2025-11-02 01:40:30.961,0.01213,14.7964
2025-11-02 01:41:30.977,0.01184,15.32208
2025-11-02 01:42:31.019,0.70133,15.20934
2025-11-02 01:43:31.080,0.01232,15.44931
2025-11-02 01:44:31.104,0.01199,15.12097
2025-11-02 01:45:31.142,0.0118,1.26675
2025-11-02 01:46:31.198,0.01232,3.37593
2025-11-02 01:47:31.230,0.57454,2.70971
2025-11-02 01:48:31.287,0.012,0.75848
2025-11-02 01:49:31.297,1.52529,0.00108
2025-11-02 01:50:31.349,0.01211,0.53773
2025-11-02 01:51:31.364,0.0121,0.55364
2025-11-02 01:52:31.426,0.01178,0.01665
2025-11-02 01:53:31.436,0.01217,0.18592
2025-11-02 01:54:31.499,0.70989,0.36446
2025-11-02 01:55:31.510,0.01224,0.19458
2025-11-02 01:56:31.566,0.67364,0.44089
2025-11-02 01:57:31.580,0.01202,0.40253
2025-11-02 01:58:31.632,0.01255,0.38228
2025-11-02 01:59:31.650,0.63843,0.40464
2025-11-02 02:00:31.700,0.01174,0.44416
2025-11-02 02:01:31.710,0.65116,6.63208
2025-11-02 02:02:31.767,0.01206,1.35314
2025-11-02 02:03:31.776,0.01226,12.50869
2025-11-02 02:04:31.842,0.01204,0.07798
2025-11-02 02:05:31.853,0.0121,1.47898
2025-11-02 02:06:31.958,0.01209,
2025-11-02 02:07:31.967,0.01209,0.49259
2025-11-02 02:08:32.018,1.48775,0.00225
2025-11-02 02:09:32.080,0.01223,0.44008
2025-11-02 02:10:32.090,0.88528,0.01048
2025-11-02 02:11:32.141,0.01204,0.30721
2025-11-02 02:12:32.196,0.01197,0.16234
2025-11-02 02:13:32.240,0.43754,0.01614
2025-11-02 02:14:32.296,0.01192,0.25343
2025-11-02 02:15:32.322,0.01257,0.30272
2025-11-02 02:16:32.371,0.01193,0.0141
2025-11-02 02:17:32.400,0.01237,0.09778
2025-11-02 02:18:32.451,0.71499,0.32496
2025-11-02 02:19:32.470,0.01229,0.58772
2025-11-02 02:20:32.521,0.01201,6.33603
2025-11-02 02:21:32.530,0.67675,12.31058
2025-11-02 02:22:32.590,0.01198,13.56056
2025-11-02 02:23:32.610,0.01223,15.02132
2025-11-02 02:24:32.659,0.0119,13.4495
2025-11-02 02:25:32.672,0.01212,14.61227
2025-11-02 02:26:32.740,1.1467,
2025-11-02 02:27:32.752,0.01192,15.77536
2025-11-02 02:28:32.808,0.72959,5.5698
2025-11-02 02:29:32.822,0.01195,2.04241
2025-11-02 02:30:32.878,0.01208,12.16034
2025-11-02 02:31:32.890,,14.95018
2025-11-02 02:32:32.955,0.01213,13.71627
2025-11-02 02:33:33.000,0.01197,15.16999
2025-11-02 02:34:33.038,0.695,14.09907
2025-11-02 02:35:33.067,0.01199,13.26899
2025-11-02 02:36:33.116,0.0122,15.96903
2025-11-02 02:37:33.137,0.52065,13.34698
2025-11-02 02:38:33.198,0.01194,13.19067
2025-11-02 02:39:33.214,0.0123,14.70927
2025-11-02 02:40:33.291,0.54765,12.74099
2025-11-02 02:41:33.301,0.01177,12.89126
2025-11-02 02:42:33.357,0.01226,15.18588
2025-11-02 02:43:33.370,0.51409,12.19898
2025-11-02 02:44:33.429,0.01206,12.47892
2025-11-02 02:45:33.440,0.01193,13.84923
2025-11-02 02:46:33.490,0.01223,12.21333
2025-11-02 02:47:33.500,0.0122,12.94187
2025-11-02 02:48:33.550,0.66832,12.21564
2025-11-02 02:49:33.560,0.01176,11.6154
2025-11-02 02:50:33.613,0.01226,14.07933
2025-11-02 02:51:33.622,0.01192,11.67027
2025-11-02 02:52:33.708,0.01237,13.84435
2025-11-02 02:53:33.719,0.52795,11.3949
2025-11-02 02:54:33.770,0.01187,8.57617
2025-11-02 02:55:33.830,0.59773,11.79347
2025-11-02 02:56:33.840,0.01188,9.18778
2025-11-02 02:57:33.890,0.01233,10.82588
2025-11-02 02:58:33.981,0.0122,0.10701
2025-11-02 02:59:34.010,0.01216,0.67911
2025-11-02 03:00:34.061,0.01182,0.02658
2025-11-02 03:01:34.080,0.01209,1.23247
2025-11-02 03:02:34.136,0.64649,1.05265
2025-11-02 03:03:34.159,0.01193,0.89676
2025-11-02 03:04:34.202,0.01216,0.89218
2025-11-02 03:05:34.220,0.01226,0.05127
2025-11-02 03:06:34.326,0.81932,0.00797
2025-11-02 03:07:34.338,1.51432,0.11309
2025-11-02 03:08:34.387,0.74778,0.46076
2025-11-02 03:09:34.400,0.01216,0.39633
2025-11-02 03:10:34.456,0.01197,0.59587
2025-11-02 03:11:34.466,0.58776,3.17623
2025-11-02 03:12:34.518,0.0121,7.92077
2025-11-02 03:13:34.530,0.70493,15.4251
2025-11-02 03:14:34.589,0.01156,9.53053
2025-11-02 03:15:34.600,0.01222,2.9562
2025-11-02 03:16:34.658,0.01209,0.03999
2025-11-02 03:17:34.667,0.01225,0.35078
2025-11-02 03:18:34.729,0.70141,0.52729
2025-11-02 03:19:34.739,0.01218,0.22633
2025-11-02 03:20:34.810,0.01185,0.49088
